f1,f2,f3,f4,f5,f6,iz1,iz2,iz3,iz4,iz5,iz6,izz1,izz2,izz3,izz4,izz5,izz6,ε,Eads,delta_e,E_bonding,d-band
0.0,-251.104489,-244.21429,230.018232,423.032835,1896.791541,345.719401,0.120754,0.180935,0.545623,0.139167,306.685768,14296.439485,4.524961,0.985604,4.09185,3.380967,1252.501552,2.0165,0.119743259999978,0.10976,10.1456462699999,-4.16572
0.0,-263.156057,-238.322628,210.347248,408.942286,1977.238725,422.197621,1e-06,0.608869,0.462806,0.007998,331.477171,13608.468299,6.135841,0.319763,5.087438,3.511421,1189.879499,2.0165,0.0994657599999868,0.10098,10.1253687699999,-4.16409
0.0,-278.532339,-232.898834,186.422413,392.286122,2057.635204,519.71694,0.14256,0.991359,0.539373,0.216445,353.350534,13007.784609,6.915052,0.051682,6.044488,2.678651,1080.691891,2.0165,0.0622314899999878,0.08726,10.0881344999999,-4.16182
0.0,-299.354852,-227.794129,137.348334,376.020427,2128.307114,638.919849,0.505027,0.942836,0.738502,0.433781,361.906074,12694.618023,7.315348,0.034068,6.994483,1.536085,921.602451,2.0165,0.0026741300000026,0.0705,10.02857714,-4.1599
0.0,-131.073488,-122.528981,244.936131,460.673303,1761.489264,327.585423,0.05049,0.342465,0.44764,0.273207,333.081347,14359.971403,0.312407,2.532052,3.26364,5.196935,1232.491159,2.0165,0.145943369999997,0.09377,10.17184638,-4.16575
0.0,-136.025801,-126.514429,224.479528,444.116909,1837.41995,405.714311,0.032994,0.660378,0.311118,0.0,358.505993,13680.761953,3.217754,0.426306,4.294118,6.207047,1176.229005,2.0165,0.127496339999993,0.08481,10.15339935,-4.16448
0.0,-148.317994,-125.993932,199.928943,424.07141,1913.323114,505.172922,0.068999,0.993823,0.367413,0.194113,379.589865,13052.827142,4.160741,0.017029,5.50651,5.237937,1069.312001,2.0165,0.0931355799999948,0.0713,10.11903859,-4.16224
0.0,-166.736755,-123.417366,151.662373,403.123221,1980.161862,626.915957,0.196417,0.972396,0.577405,0.472306,385.879885,12723.360877,4.749623,0.518692,6.571438,3.581983,916.870591,2.0165,0.037451500000003,0.05483,10.06335451,-4.15973
0.0,105.788255,114.233189,272.309651,500.541284,1633.183732,311.117695,0.159381,0.367301,0.315013,0.463582,358.116694,14405.958632,0.500737,0.898418,1.878346,6.869756,1211.283088,2.0165,0.129717989999988,0.07761,10.1556209999999,-4.16598
0.0,105.506908,109.423663,251.193586,483.030879,1704.511906,390.58239,0.416717,0.413549,0.117,0.018205,384.108756,13738.06761,1.601322,0.490669,2.635295,9.079363,1160.760167,2.0165,0.113250300000004,0.06876,10.13915331,-4.16439
0.0,102.143974,106.291398,227.431837,461.708473,1776.105874,491.4977,0.117705,1.039482,0.100471,0.121231,404.297937,13080.228494,0.649143,1.942202,3.761642,8.188428,1055.082575,2.0165,0.0817304400000011,0.05522,10.10763345,-4.16244
0.0,91.282717,107.725933,186.027964,438.014619,1839.195156,615.608676,0.214714,1.044558,0.157869,0.419012,408.20897,12738.935286,0.004241,4.162981,4.691025,6.468392,909.540669,2.0165,0.0298713499999792,0.03908,10.0557743599999,-4.15989
0.0,-316.188356,-21.012902,32.207763,209.95881,2227.173993,0.139694,1.385537,0.002583,0.079026,0.001917,533.423293,0.60348,5.318355,0.000116,0.209322,14.411546,940.011549,2.0165,0.149592920000003,0.11429,10.26677653,-4.14358
0.0,-319.726707,-29.339542,28.469036,214.240693,2226.621586,0.525543,1.935421,0.023557,0.068984,0.00089,514.342413,0.969173,3.655818,0.016489,0.137878,13.106101,855.63515,2.0165,0.136731709999992,0.10464,10.25391532,-4.14175
0.0,-320.145778,-35.801649,24.828157,221.934884,2224.952972,0.708051,2.89365,0.075927,0.056989,0.022686,493.612707,0.810957,1.95921,0.106354,0.066064,11.910191,756.437844,2.0165,0.111614790000004,0.09066,10.2287984,-4.13956
0.0,-316.029065,-39.809627,19.835298,232.569529,2222.504083,0.350422,3.284479,0.156255,0.039231,0.070647,465.482692,0.211511,0.613199,0.230179,0.020631,10.904389,643.044041,2.0165,0.0688837699999851,0.07345,10.1860673799999,-4.13704
0.0,-141.65484,-21.590629,44.43703,209.260264,2070.799642,0.116557,1.425188,0.002162,0.301579,0.000615,568.200708,0.715767,4.422927,0.002389,0.703808,18.538283,1000.388207,2.0165,0.171684879999986,0.09933,10.2888684899999,-4.14422
0.0,-148.802769,-29.769335,39.333749,214.995393,2070.523375,0.468441,1.899091,0.0166,0.263419,0.023428,546.741299,1.566168,2.796933,0.015509,0.360999,16.532963,912.012356,2.0165,0.160592469999983,0.08993,10.2777760799999,-4.14224
0.0,-151.24996,-34.815597,36.218304,225.745744,2069.046325,0.672375,2.599214,0.04653,0.23594,0.132069,522.85238,1.321123,1.077589,0.13075,0.119163,14.853056,799.726053,2.0165,0.138117649999998,0.07558,10.25530126,-4.13949
0.0,-148.278166,-37.680988,32.653819,241.021926,2066.79645,0.376046,2.710482,0.099536,0.168766,0.287566,491.184712,0.479106,0.063271,0.285377,0.007305,13.273397,677.194768,2.0165,0.0988096099999893,0.05879,10.21599322,-4.13719
0.0,15.04246,184.906068,205.079722,228.802729,1921.145718,0.000921,0.018567,0.243536,0.368768,1.487784,601.735614,0.000229,0.027738,5.662666,3.131362,19.942165,1050.29907,2.0165,0.151498619999983,0.08365,10.2686822299999,-4.1442
0.0,10.517396,168.75228,203.694105,235.826603,1921.00547,0.027333,0.010583,0.646357,0.712331,1.423137,577.924825,0.00449,0.03802,7.337805,0.061532,17.675617,959.728365,2.0165,0.142181219999997,0.07437,10.25936483,-4.14217
0.0,-1.57739,153.642077,198.046199,254.286127,1919.944845,0.146527,0.005695,0.973403,0.821374,1.707464,550.717578,0.029314,0.038423,6.042152,0.023239,14.382069,835.543616,2.0165,0.12243282,0.06006,10.23961643,-4.13978
0.0,-11.012735,143.318433,189.252165,278.05728,1918.005042,0.309274,0.00464,0.79943,0.692685,1.625779,515.417389,0.091927,0.034734,4.36164,0.491656,11.59027,705.358227,2.0165,0.0864394200000049,0.04344,10.20362303,-4.1371
0.0,-307.963152,54.229566,77.34426,171.920166,2226.937477,0.210617,1.275921,0.050568,0.062952,0.018723,524.176198,0.344749,7.473385,0.081762,0.176759,16.718153,1175.481974,2.0165,0.142132430000003,0.11524,10.38192554,-4.12441
0.0,-311.451169,54.545306,72.45671,176.548582,2226.941266,0.462714,1.844314,0.097812,0.013399,0.010011,504.133262,1.262459,4.971193,0.135389,0.044548,15.101795,1060.189992,2.0165,0.135461800000001,0.10612,10.37525491,-4.12285
0.0,-310.968611,54.664667,68.483564,184.080066,2225.986725,0.489157,2.775489,0.139433,0.00092,0.000932,482.863426,1.295427,2.552305,0.165307,0.004025,13.646247,930.088549,2.0165,0.120300719999988,0.09133,10.36009383,-4.1204
0.0,-306.929285,54.596738,65.772771,193.68032,2224.345113,0.228255,2.954513,0.146437,0.035895,0.000957,454.753083,0.342281,0.975292,0.136757,0.115092,12.603647,790.603278,2.0165,0.0911448499999778,0.07403,10.33093796,-4.11842
0.0,-128.282585,61.181597,91.281162,172.356934,2070.012503,0.143344,1.232011,0.137223,0.381447,0.000587,563.010057,0.562427,4.939402,0.096507,0.981014,22.537433,1269.215531,2.0165,0.160975879999995,0.10124,10.40076899,-4.12486
0.0,-133.668549,61.416742,81.764778,177.877414,2070.341155,0.329658,1.750203,0.262801,0.209287,0.00244,540.170269,2.13685,2.999268,0.111367,0.502791,19.588326,1146.195799,2.0165,0.155855309999992,0.09187,10.39564842,-4.12288
0.0,-133.259008,61.109804,75.916179,188.120759,2069.617692,0.347901,2.418258,0.358131,0.147166,0.043904,515.442739,2.165021,0.947279,0.136071,0.095269,17.237519,997.148385,2.0165,0.14318965999999,0.0771,10.38298277,-4.12058
0.0,-127.959906,61.129543,72.171024,201.923122,2068.212362,0.161132,2.331223,0.405122,0.080558,0.10658,483.537947,0.793446,0.041852,0.159615,0.011153,15.457281,843.371984,2.0165,0.117015769999994,0.06012,10.35680888,-4.11824
