f1,f2,f3,f4,f5,f6,iz1,iz2,iz3,iz4,iz5,iz6,izz1,izz2,izz3,izz4,izz5,izz6,ε,Eads,delta_e,E_bonding,d-band
0.0,-447.827662,-328.538218,97.812191,142.01329,2321.027583,7.870641,0.26265,0.088117,0.004945,0.092899,582.756837,390.74985,6.725483,11.578057,0.094759,0.241409,2363.792587,4.24,0.042051090000001,0.131638,10.0294570799999,-4.16484
0.0,-457.810644,-316.285712,93.116277,137.508999,2333.99123,14.173232,0.026955,0.363705,0.022039,0.055213,577.880935,393.488481,5.296166,10.506685,0.000656,0.573825,2114.030256,4.24,0.0197499600000128,0.122564,10.0071559499999,-4.16322
0.0,-468.175917,-305.577206,88.184742,133.680156,2346.498482,21.747066,0.518976,0.613403,0.135599,0.045875,574.015064,404.829727,3.32552,8.647768,0.108604,1.010104,1841.364508,4.24,-0.0208250299999974,0.107936,9.96658095999998,-4.16115
0.0,-478.158698,-296.639326,84.150231,128.305037,2357.198136,28.276869,1.223888,0.53549,0.325944,0.068643,561.17733,434.052381,1.561403,6.574782,0.319619,1.845023,1537.358076,4.24,-0.0846540100000083,0.090991,9.90275197999997,-4.15924
0.0,-324.8762,-249.614917,100.954505,144.430214,2153.407832,6.073525,0.359188,0.291773,0.022171,0.053341,631.331181,407.174935,6.674706,4.693399,0.21164,0.022057,2467.16924,4.24,0.116582730000004,0.114484,10.1039887199999,-4.16516
0.0,-337.665714,-241.333169,95.024043,139.826485,2167.258754,11.851809,0.004524,0.720935,0.011315,0.019705,624.384659,409.065295,5.705413,4.141671,0.013552,0.196565,2211.961771,4.24,0.096145430000007,0.105532,10.0835514199999,-4.16354
0.0,-350.490431,-233.943492,89.37898,135.987019,2180.734532,19.041503,0.380601,1.047088,0.118922,0.014308,617.228487,416.183828,3.559597,3.293558,0.097281,0.522095,1920.818646,4.24,0.0586007999999935,0.09152,10.0460067899999,-4.16165
0.0,-362.966948,-227.587659,85.174822,130.946758,2192.488124,25.519233,0.987514,0.92836,0.307857,0.034007,600.198312,441.520073,1.632768,2.100573,0.388835,1.152459,1601.56168,4.24,-0.0014003500000114,0.074326,9.98600563999997,-4.15934
0.0,-170.694014,-143.972179,115.589928,151.691877,1993.728504,4.260531,0.220352,0.669669,0.146156,0.003882,679.216746,423.190287,4.880495,2.449365,1.212709,0.028184,2549.39497,4.24,0.142261050000001,0.097487,10.1296670399999,-4.16571
0.0,-188.585545,-141.87025,103.402899,146.3423,2008.513398,9.415718,0.004258,1.047963,0.000652,0.003423,670.273055,424.190963,5.60178,1.392454,0.27602,0.023237,2292.572118,4.24,0.12370912,0.088329,10.1111151099999,-4.16405
0.0,-207.230315,-139.290146,93.796227,141.917227,2022.949082,16.188652,0.315125,1.388952,0.102883,0.004362,659.522048,426.743316,3.751521,0.803149,0.020175,0.188528,1983.828014,4.24,0.0891672500000027,0.074513,10.0765732399999,-4.16183
0.0,-225.667966,-136.89676,87.707222,136.698852,2035.67193,22.640706,0.776951,1.298977,0.294432,0.001713,638.022727,447.593822,1.778416,0.207675,0.395092,0.540824,1653.27784,4.24,0.0331545299999902,0.05764,10.0205605199999,-4.15974
0.0,62.525799,84.116273,181.854419,219.454433,1840.765951,2.567516,0.013534,0.403223,0.026974,0.886891,725.642456,440.690693,0.591786,0.164365,1.61041,6.279452,2607.870486,4.24,0.125810739999991,0.080191,10.1132167299999,-4.16582
0.0,64.20238,82.246631,169.093675,199.48136,1856.364994,6.972716,0.016891,0.832113,0.2696,0.180088,714.84081,440.243288,1.068054,0.003757,1.949524,4.365621,2352.829445,4.24,0.10927706000001,0.071158,10.0966830499999,-4.16414
0.0,65.088896,82.008666,152.784546,182.247194,1871.990327,13.265352,0.114444,1.163407,0.688555,0.0298,700.337432,437.704034,1.289783,0.17289,1.526531,1.422415,2029.309085,4.24,0.0776431799999954,0.057305,10.0650491699999,-4.16216
0.0,61.13583,83.931239,132.75125,166.542211,1885.806108,19.690591,0.265259,0.97825,1.195864,0.003351,674.196379,453.324795,0.975307,0.954022,0.480352,0.24598,1691.429033,4.24,0.0255451499999992,0.040771,10.0129511399999,-4.15968
0.0,80.132559,120.613343,244.998926,317.190819,1694.141415,1.151298,0.000213,0.221817,0.237325,1.10499,769.801385,461.495215,0.084096,0.688316,3.516423,6.851018,2640.802631,4.24,0.0732118699999944,0.06205,10.0606178599999,-4.16617
0.0,80.388796,119.342219,231.778152,303.107966,1710.517891,4.643932,0.008801,0.296112,0.946569,0.193105,757.380826,458.503224,0.245123,0.249451,3.277118,5.955807,2390.719296,4.24,0.0585996599999987,0.053106,10.0460056499999,-4.16448
0.0,80.098775,118.985466,219.821587,289.949732,1727.357932,10.343086,0.090792,0.311964,1.659598,0.006548,739.160564,450.244999,0.514699,0.012648,2.450666,3.020441,2056.835975,4.24,0.0299441299999898,0.039437,10.0173501199999,-4.16206
0.0,79.429021,117.945631,210.823073,275.565153,1742.412092,16.697857,0.281763,0.244833,1.615939,0.286657,708.293761,459.633849,0.749259,0.161786,1.938991,1.155192,1715.244699,4.24,-0.0183268300000065,0.023182,9.96907915999997,-4.15987
0.0,-451.292196,-26.228015,25.752578,211.489553,2383.526881,0.301292,1.725997,0.011265,0.05599,0.001585,707.603486,0.361789,10.647555,0.015066,0.262887,20.817618,1614.624261,4.24,0.0764118200000041,0.135119,10.1824586099999,-4.14251
0.0,-454.260182,-31.7852,19.285696,215.119478,2382.926524,0.987931,2.595798,0.051076,0.042521,0.008788,684.125859,0.388829,8.996694,0.093261,0.171776,19.095111,1483.775791,4.24,0.0614853700000139,0.12519,10.16753216,-4.14121
0.0,-454.600166,-37.456898,10.673568,221.504313,2381.284924,1.244876,4.347777,0.134509,0.032438,0.03265,660.482004,0.271783,7.292228,0.314457,0.085732,17.387906,1347.375823,4.24,0.0331459699999925,0.110445,10.1391927599999,-4.13881
0.0,-451.121394,-41.459498,-12.534749,230.167683,2378.837454,0.563882,5.496325,0.256402,0.021494,0.073201,628.380927,0.042299,5.038691,0.617425,0.033368,15.779731,1188.279059,4.24,-0.0137070399999856,0.092909,10.09233975,-4.13655
0.0,-327.942032,-27.078101,27.372554,210.152953,2218.306768,0.251899,2.052666,0.010577,0.095971,0.00227,765.896889,0.363499,11.225134,0.012224,0.358536,26.825695,1748.471337,4.24,0.146743490000005,0.119571,10.25279028,-4.14297
0.0,-331.73802,-32.318373,21.261689,214.274939,2217.985511,0.81455,2.881894,0.046713,0.076575,0.014487,738.729208,0.654337,9.250869,0.08551,0.232736,24.449508,1608.891213,4.24,0.133570429999991,0.109624,10.2396172199999,-4.14163
0.0,-331.762943,-37.456291,14.673295,221.688223,2216.616907,0.980645,4.441573,0.123423,0.060636,0.058838,710.378204,0.501656,6.986448,0.311135,0.112797,22.280474,1450.541443,4.24,0.108017219999993,0.095172,10.2140640099999,-4.13908
0.0,-327.180211,-40.976902,-5.341683,231.960676,2214.519803,0.422658,5.156205,0.242658,0.040617,0.130814,673.058017,0.108446,4.238755,0.62957,0.039157,20.325093,1272.943201,4.24,0.0647686199999952,0.0774,10.1708154099999,-4.13694
0.0,-166.333469,-27.818765,36.846268,209.336398,2061.011097,0.214636,2.246617,0.010438,0.302831,0.012793,823.948896,0.47834,10.084892,0.007806,0.977497,34.987465,1863.327407,4.24,0.16825399000001,0.103692,10.27430078,-4.14366
0.0,-173.20033,-32.791749,30.346902,214.755208,2060.99619,0.71679,2.968211,0.038335,0.251601,0.058777,793.053576,1.201084,7.948067,0.082661,0.56045,31.723509,1719.014624,4.24,0.156307940000004,0.093776,10.2623547299999,-4.14207
0.0,-174.17776,-36.811818,26.010782,224.849674,2059.88634,0.900863,4.174694,0.088801,0.221603,0.212994,759.5604,0.957736,5.047117,0.331442,0.23781,29.220023,1539.529564,4.24,0.134145560000007,0.079149,10.24019235,-4.1395
0.0,-169.847535,-39.312246,20.960289,239.185796,2058.046623,0.430162,4.462356,0.175849,0.156299,0.422485,716.690535,0.27535,2.03164,0.665856,0.04782,26.849626,1346.02666,4.24,0.0944414299999891,0.061797,10.2004882199999,-4.13682
0.0,-10.288555,162.161074,195.235547,217.008936,1910.416439,0.006119,0.0124,0.270942,1.718858,1.213108,880.810591,0.012779,0.011391,3.337497,0.179299,51.901591,1955.042169,4.24,0.147669979999989,0.087008,10.2537167699999,-4.14382
0.0,-16.447454,147.4998,188.312033,227.305398,1910.565308,0.056849,0.003571,0.83902,2.04797,1.342146,846.222062,0.045363,0.022946,6.587335,0.559436,42.14932,1809.833931,4.24,0.138232160000001,0.0774,10.2442789499999,-4.14219
0.0,-20.3114,133.517896,181.464119,246.454393,1909.940244,0.265239,0.001412,1.207696,2.059004,2.062576,807.303057,0.151283,0.032205,5.605145,0.175256,36.240568,1612.036782,4.24,0.118273280000011,0.062599,10.22432007,-4.13939
0.0,-23.16056,122.013092,171.823316,270.076693,1908.468885,0.545763,0.001911,0.833699,1.762517,2.229971,758.670501,0.393787,0.033815,3.499704,0.234024,30.970858,1405.594874,4.24,0.0819971900000098,0.045396,10.18804398,-4.13713
0.0,14.97758,203.469456,288.270457,311.04854,1766.107628,0.006134,0.072692,0.029109,0.086866,3.517814,935.515969,0.007674,0.102035,45.807004,0.086205,19.535609,2021.041213,4.24,0.0909233000000142,0.069931,10.19697009,-4.14439
0.0,6.6168,200.995591,287.643867,309.966526,1766.370688,0.040889,0.051577,0.165112,0.057427,4.292898,897.3629,0.045867,0.094349,37.730768,0.000798,20.405131,1878.419888,4.24,0.0832765099999903,0.060589,10.1893232999999,-4.14219
0.0,-9.994305,196.111746,286.692925,319.481986,1766.254971,0.162731,0.033591,0.476509,0.014227,4.965402,852.918995,0.205622,0.067146,26.923343,0.031457,22.236357,1666.763615,4.24,0.0661460100000113,0.04631,10.1721928,-4.13972
0.0,-14.94613,191.067453,281.200975,337.057464,1765.28623,0.367089,0.024491,0.630745,0.101688,4.035452,798.409017,0.514072,0.046962,18.525925,0.031525,22.029412,1450.300944,4.24,0.0334227300000122,0.029108,10.13946952,-4.13696
0.0,-445.307065,51.860599,67.524448,173.886812,2383.988807,0.313025,1.664525,0.041953,0.042045,0.002519,688.442123,0.655042,15.068843,0.142531,0.375965,16.108454,2131.239618,4.24,0.0728121200000089,0.13509,10.3005706099999,-4.12351
0.0,-447.695642,51.795075,63.556744,178.249094,2383.918691,0.830707,2.552218,0.089895,0.009858,0.000584,663.550024,1.724781,11.299549,0.234345,0.158398,14.338164,1936.068313,4.24,0.0639410599999905,0.125091,10.2916995499999,-4.12203
0.0,-447.451633,51.374961,59.98288,185.031644,2382.937559,1.025879,4.131807,0.151993,0.00014,0.000397,638.880096,1.761421,7.479174,0.347785,0.012598,12.50764,1734.203792,4.24,0.0454466200000069,0.110263,10.2732051099999,-4.11977
0.0,-444.568034,50.905858,56.984466,193.441383,2381.202913,0.531723,4.950493,0.212626,0.018856,0.003946,606.736998,0.668948,3.94653,0.461047,0.038255,10.95435,1517.158182,4.24,0.0125844099999881,0.091994,10.2403428999999,-4.1179
0.0,-319.420273,52.613188,69.198593,172.847863,2218.228654,0.246736,2.019812,0.056721,0.091641,0.004388,752.2816,0.712476,15.961427,0.146478,0.586997,21.57708,2345.391932,4.24,0.139734379999993,0.120835,10.3674928699999,-4.12406
0.0,-322.370347,52.601422,64.735241,177.441782,2218.489099,0.613699,2.859124,0.115924,0.038909,0.000756,723.055449,2.443911,11.700305,0.228399,0.301069,18.994911,2132.507531,4.24,0.132534539999994,0.111304,10.3602930299999,-4.12224
0.0,-321.487353,52.209186,61.146054,184.882738,2217.817787,0.7015,4.235101,0.189363,0.0107,0.002024,693.210491,2.520739,7.220841,0.347825,0.065617,16.504181,1895.990074,4.24,0.116736779999996,0.095927,10.3444952699999,-4.12023
0.0,-317.27563,51.868548,58.325526,194.384244,2216.464191,0.330389,4.6311,0.269463,0.0,0.012283,655.510284,1.004239,3.385818,0.511224,0.002386,14.465419,1648.919753,4.24,0.0870056999999917,0.077936,10.3147641899999,-4.11781
0.0,-151.859312,57.012086,79.532437,172.813398,2060.29939,0.181184,2.107427,0.108484,0.451479,0.000578,817.157057,0.933068,12.722869,0.12644,2.147965,30.756674,2534.387998,4.24,0.157784219999996,0.106034,10.3855427099999,-4.12426
0.0,-156.658983,56.108328,72.674852,178.300039,2060.923452,0.450737,2.848959,0.192752,0.336712,0.01169,783.44808,3.56714,9.022285,0.127901,1.333611,26.474222,2310.042053,4.24,0.152328320000009,0.096258,10.3800868099999,-4.12271
0.0,-155.32092,54.389709,69.086332,188.118435,2060.555857,0.501758,3.88523,0.261239,0.313987,0.077885,747.862342,3.750359,4.544128,0.229867,0.563543,22.902746,2040.459838,4.24,0.139229800000009,0.080863,10.3669882899999,-4.12021
0.0,-149.625623,53.279021,66.658595,201.286263,2059.500609,0.232416,3.876221,0.335835,0.237448,0.171064,704.116594,1.648923,1.261804,0.462762,0.09745,19.945339,1766.432715,4.24,0.11258957999999,0.063155,10.3403480699999,-4.11819
42.295073,53.994271,164.409122,192.959945,223.151283,1908.980911,0.002165,0.001145,0.483264,0.027974,2.842634,881.957329,0.026044,0.033412,21.019452,0.013174,34.475844,2688.917666,4.24,0.133733940000013,0.09088,10.3614924299999,-4.1249
42.460456,54.221412,159.764748,191.184813,222.667,1909.829446,0.001904,0.000662,0.943053,0.013279,3.16727,843.728534,0.050312,0.11135,18.031509,0.34155,29.89839,2459.990572,4.24,0.13003427000001,0.080892,10.3577927599999,-4.12286
42.592426,53.647662,151.195194,189.802804,234.284279,1910.001897,0.000752,0.040089,1.407792,0.236449,3.331271,801.996241,0.046856,0.276465,13.490103,0.381425,23.983221,2162.099815,4.24,0.119486510000001,0.065753,10.3472449999999,-4.12045
42.04149,52.999574,143.488247,184.641359,251.949386,1909.36656,0.0,0.157812,1.322486,0.453286,2.61156,751.844997,0.026483,0.542319,8.908861,0.012786,18.778086,1865.440632,4.24,0.0962100200000009,0.048102,10.3239685099999,-4.11794
47.036126,60.252633,167.411415,302.865636,322.249161,1763.866369,0.028557,0.04101,0.142852,0.084643,3.642326,945.471647,0.071602,0.037705,38.571842,0.280177,26.721349,2802.095409,4.24,0.0734854499999926,0.075365,10.3012439399999,-4.12505
47.624355,58.270958,169.312392,300.547904,320.743488,1764.892006,0.048652,0.009978,0.23688,0.05308,4.142282,902.827163,0.138575,0.004181,33.501001,2.735744,21.08545,2575.52905,4.24,0.0714339399999914,0.065239,10.2991924299999,-4.12319
48.323182,55.87927,170.524266,298.855514,326.528441,1765.639739,0.071006,0.009552,0.433482,0.001744,4.547832,854.748636,0.203696,0.036831,26.818101,2.463305,15.779772,2256.732321,4.24,0.0635709800000086,0.050284,10.2913294699999,-4.12035
48.78765,54.05926,171.118119,295.35832,336.955344,1765.568512,0.074414,0.112316,0.574708,0.026434,3.516849,797.958753,0.210533,0.275547,20.589614,0.638528,12.260747,1942.433627,4.24,0.0436090800000101,0.033144,10.2713675699999,-4.1179
0.0,-444.110037,44.157795,55.911544,125.262724,2384.652507,0.215471,1.701719,0.001072,0.057466,0.157589,626.630958,4.524892,18.616581,0.117051,0.851191,1.986962,2930.802785,4.24,0.052865330000003,0.130221,10.41364582,-4.10756
0.0,-445.26168,39.20223,55.225376,129.312688,2384.814794,0.970983,2.679974,0.022805,0.064719,0.148439,603.411048,8.485944,11.637745,0.057411,0.686912,1.272547,2638.813907,4.24,0.0484767300000044,0.120233,10.40925722,-4.10598
0.0,-445.003121,34.295971,54.29924,135.246087,2384.140898,1.657466,4.239257,0.082865,0.06331,0.140769,581.735781,8.922339,5.253211,0.000325,0.433917,0.628792,2336.90257,4.24,0.0377691300000151,0.104937,10.39854962,-4.10436
0.0,-443.706225,30.096074,52.688563,142.475679,2382.791897,1.377332,5.284852,0.175471,0.050949,0.137843,554.001362,5.868029,0.726358,0.088102,0.201937,0.200206,2029.735124,4.24,0.0155202200000132,0.087155,10.37630071,-4.10258
0.0,-317.076065,44.092263,57.178639,124.142565,2218.44219,0.138558,2.039245,5.3e-05,0.106429,0.127462,692.865601,4.922236,20.657601,0.150789,1.073258,4.089167,3281.14945,4.24,0.117054819999992,0.117382,10.4778353099999,-4.10765
0.0,-318.2909,38.816733,56.602348,128.111054,2218.96107,0.678757,2.963511,0.015689,0.115495,0.121251,664.948286,10.442512,12.611665,0.08107,0.87425,2.747814,2955.049733,4.24,0.114344210000012,0.107337,10.4751247,-4.10631
0.0,-317.310517,33.898246,55.924264,134.129684,2218.602951,1.154169,4.34679,0.070031,0.111341,0.124172,638.012413,10.793497,5.462757,0.0,0.556106,1.524123,2597.366653,4.24,0.106036609999989,0.092032,10.4668170999999,-4.10422
0.0,-314.960398,29.97694,54.575926,141.575822,2217.635173,0.925835,4.98507,0.161484,0.087205,0.129524,604.777428,6.850893,0.717377,0.096855,0.251864,0.656325,2241.153071,4.24,0.0866636199999959,0.074441,10.4474441099999,-4.10259
0.0,-145.019281,45.92992,65.635862,125.484631,2059.94376,0.076252,2.068043,0.000172,0.395012,0.25281,761.793507,5.155235,17.765578,0.321605,2.539468,10.492818,3604.674887,4.24,0.132297319999992,0.104157,10.4930778099999,-4.1083
0.0,-146.762907,38.926669,65.024735,129.29149,2060.860221,0.431708,2.842101,0.012299,0.444039,0.263349,728.867508,12.401421,10.462196,0.172884,1.95743,6.928537,3253.068116,4.24,0.131309359999988,0.093988,10.4920898499999,-4.10645
