f1,f2,f3,f4,f5,f6,iz1,iz2,iz3,iz4,iz5,iz6,izz1,izz2,izz3,izz4,izz5,izz6,ε,Eads,delta_e,E_bonding,d-band
0.0,-459.41781,-224.598214,40.938091,208.45589,2368.835406,5.036468,0.551163,0.160345,0.006994,0.187063,807.782397,31.750349,5.430866,11.275405,0.000934,2.146925,2261.489107,7.4257,0.04073384,0.135898,10.04757971,-4.16452
0.0,-466.921018,-221.784226,32.586072,207.591556,2370.664555,9.96926,2e-05,0.075203,0.013967,0.165818,790.028469,27.959013,2.315342,10.973857,0.142387,1.253596,2078.187045,7.4257,0.01815717,0.126619,10.02500304,-4.16304
0.0,-474.213193,-219.818028,20.412496,208.378122,2371.45036,14.754944,0.444471,0.032988,0.111825,0.214055,773.480638,27.207939,0.293534,10.76727,0.767593,0.690906,1887.739251,7.4257,-0.0228056,0.111702,9.98404027,-4.1608
0.0,-480.55065,-218.364562,-10.800015,210.934864,2371.235518,16.303411,1.604415,0.037242,0.290096,0.364611,746.953336,33.633304,0.096649,10.638568,1.653311,0.182877,1671.269555,7.4257,-0.08707683,0.094379,9.91976904,-4.15904
0.0,-340.209722,-196.631615,41.619458,209.819427,2203.316776,5.090709,0.725605,0.000722,0.020133,0.126988,873.229309,33.510824,5.811434,6.317751,0.015403,4.274431,2399.088537,7.4257,0.11409508,0.117955,10.12094095,-4.16531
0.0,-350.092338,-193.833692,32.444646,208.601654,2205.496715,9.868084,0.008325,0.028419,0.006175,0.102714,852.069301,29.805137,2.758441,6.412144,0.101795,2.710067,2210.366494,7.4257,0.09410775,0.109001,10.10095362,-4.16319
0.0,-359.205117,-191.722698,20.066276,209.27018,2206.683793,14.35801,0.336957,0.089129,0.092657,0.153852,830.747494,28.810559,0.423142,6.430235,0.730838,1.690365,2000.4832,7.4257,0.05624823,0.094687,10.0630941,-4.16141
0.0,-367.309836,-190.149605,-10.048258,211.978455,2206.968564,15.692356,1.369211,0.080703,0.269007,0.319795,798.697929,35.556183,0.073376,6.017254,1.682916,0.783611,1766.077306,7.4257,-0.00409505,0.077125,10.00275082,-4.15912
0.0,-192.139676,-137.497737,47.471097,213.700902,2045.757998,4.791206,0.727945,0.34282,0.092069,0.041632,937.888677,34.060735,5.936922,2.881234,0.224355,7.252373,2514.493311,7.4257,0.14012445,0.10052,10.14697032,-4.16517
0.0,-208.330334,-136.347631,34.731882,211.931379,2048.317477,9.114811,0.008026,0.640945,0.000159,0.026686,913.341646,30.942289,3.391631,2.82963,0.018892,4.693111,2324.248733,7.4257,0.12141565,0.091158,10.12826152,-4.16395
