f1,f2,f3,f4,f5,f6,iz1,iz2,iz3,iz4,iz5,iz6,izz1,izz2,izz3,izz4,izz5,izz6,ε,Eads,delta_e,E_bonding,d-band
0.0,-376.052,-55.1714,193.9716,248.6069,2266.287,0.000276,0.099658,0.005081,0.000655,0.420622,268.7252,1.2e-05,1.195939,0.03883,0.003992,3.649822,70.7344,1,-0.15425,0.048687,8.99769033,-4.239289145
0.0,-376.661,-48.9396,200.4727,252.9722,2264.151,5.8e-05,0.037297,0.031925,0.0004,0.187143,264.7438,8.7e-05,2.540078,0.01526,0.005971,4.274291,55.79264,1,-0.21018,0.046572,8.9417617,-4.240915094
0.0,-384.054,-44.2354,206.7499,258.7328,2261.174,1e-06,0.303215,0.060368,8.5e-05,0.035722,249.9237,0.000154,2.684966,0.0003,0.008136,4.89508,39.31578,1,-0.30406,0.043844,8.84787993,-4.243174504
0.0,-392.126,-39.5758,212.2717,265.9795,2256.807,3.3e-05,0.557006,0.078589,5e-06,0.001222,228.3375,0.000205,1.612575,0.007289,0.009565,5.55753,24.82862,1,-0.43731,0.040046,8.71462618,-4.246941634
0.0,-395.692,-27.0768,217.291,274.9295,2250.906,0.000139,0.662704,0.087615,0.000125,0.04324,203.5107,5.5e-05,0.308422,0.029583,0.009716,6.260136,14.29706,1,-0.61197,0.036216,8.53996656,-4.251202174
0.0,-391.764,31.13274,222.2546,285.3203,2243.452,0.000149,0.627599,0.08977,0.000243,0.091946,178.1369,0.000122,0.164318,0.051324,0.008419,6.765455,8.274849,1,-0.83359,0.031818,8.31834448,-4.256856223
0.0,-379.375,66.98858,228.0903,296.6835,2235.41,7.3e-05,0.516884,0.0854,0.000221,0.084898,154.3924,0.000699,2.2326,0.029249,0.005533,6.355308,6.287467,1,-1.11849,0.027729,8.03344551,-4.261828561
0.0,-363.206,114.0232,235.8107,311.4818,2228.661,3e-05,0.392279,0.073147,7.6e-05,0.022711,132.8558,0.001052,6.51399,0.041504,0.001338,4.239193,8.36063,1,-1.50649,0.02393,7.64545079,-4.26642607
0.0,-385.898,-63.8663,195.6667,250.6164,2261.292,0.675354,0.688158,0.002204,0.212583,0.467296,284.9236,0.012944,0.637009,0.105981,0.559483,2.542326,94.7716,1,-0.16141,0.050544,8.99053154,-4.238567191
0.0,-361.822,-65.0678,210.279,260.8868,2256.426,0.015586,0.039793,0.028883,0.1155,0.468348,300.2212,0.235603,4.983686,0.100286,3.562462,1.564827,70.69089,1,-0.2385,0.053431,8.91343438,-4.238054062
0.0,-350.369,-70.12,218.4702,273.0124,2257.526,0.010078,0.719214,0.049152,0.031911,0.54289,281.4731,0.115745,7.059697,0.048697,5.560031,2.153325,37.97544,1,-0.36867,0.058646,8.78326256,-4.237424665
0.0,-359.65,-80.7844,215.7074,291.6177,2259.268,0.016319,2.435758,0.053773,0.411041,0.26631,247.2523,0.052932,4.798821,0.021108,4.223166,4.684966,17.46253,1,-0.5575,0.065184,8.5944335,-4.237369817
0.0,-373.401,-99.5297,202.6096,327.435,2258.92,0.006298,3.377442,0.054097,0.628811,0.012902,209.6136,0.014204,1.277583,0.009186,2.064792,7.187996,7.029466,1,-0.82277,0.070823,8.32917088,-4.239398091
0.0,-370.731,-130.069,178.8979,399.0451,2256.148,0.000179,2.883398,0.055468,0.5364,0.078478,173.5314,0.001862,0.176632,0.003205,0.68576,7.416922,2.789824,1,-1.22331,0.073829,7.92862607,-4.245086056
0.0,-319.274,-178.991,129.1549,549.4498,2251.999,0.002061,1.668746,0.065726,0.399787,0.371471,139.168,0.005294,4.495047,3e-05,0.053317,3.640345,1.599031,1,-1.93464,0.06816,7.21729809,-4.260359174
